id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
873,2500000.0,400.0,200.0,0.0,5,5,3,3,0,1,300000.0,0,0,0,las condes
874,522500.0,75.0,70.0,0.0,2,2,2,1,0,1,75000.0,0,0,0,san miguel
875,486322.0,0.0,56.0,0.0,0,0,0,0,0,0,0.0,0,0,0,la cisterna
876,560000.0,55.0,53.0,0.0,0,2,2,1,0,1,110000.0,0,0,0,ñuñoa
877,2000000.0,200.0,150.0,50.0,4,3,3,2,0,1,250000.0,1,2,4,otras
878,1490000.0,156.0,132.0,0.0,0,4,3,2,0,0,260000.0,12,66,0,las condes
880,300000.0,33.0,28.0,0.0,1,1,1,1,0,0,70000.0,0,0,0,otras
881,500000.0,48.0,48.0,0.0,0,2,2,0,4,0,80000.0,12,7,5,santiago
883,550000.0,69.0,65.0,0.0,2,2,2,1,0,1,95000.0,0,0,0,santiago
884,515000.0,49.0,45.0,0.0,2,2,1,1,0,1,40000.0,0,0,0,otras
885,399000.0,45.0,45.0,5.0,0,2,2,1,0,1,90000.0,0,0,15,estación central
886,1500000.0,176.0,150.0,26.0,4,3,4,2,6,1,220000.0,0,4,27,las condes
887,470663.0,543.0,50.0,0.0,0,2,2,0,4,0,0.0,21,8,3,la cisterna
888,400000.0,51.0,51.0,0.0,0,2,2,1,0,0,0.0,0,0,0,san miguel
889,1350000.0,108.0,95.0,0.0,4,4,3,2,0,1,135000.0,0,0,0,otras
890,16.0,0.0,72.0,0.0,0,0,0,0,0,0,100000.0,0,0,0,otras
891,330000.0,40.0,38.0,0.0,2,2,1,0,0,1,45000.0,0,0,0,santiago
893,370000.0,0.0,49.0,0.0,0,0,0,0,0,0,120000.0,0,0,0,otras
894,305000.0,32.0,30.0,0.0,1,1,1,0,0,0,70000.0,0,0,0,san miguel
895,490000.0,51.0,47.0,0.0,2,2,2,0,0,1,80000.0,0,0,0,otras
899,55.0,0.0,133.0,0.0,0,0,0,0,0,0,300000.0,0,0,0,otras
900,700000.0,90.0,80.0,0.0,3,3,2,1,0,0,140000.0,0,0,0,otras
901,550000.0,54.0,51.0,0.0,2,2,2,1,0,1,100000.0,0,0,0,santiago
902,525000.0,65.0,59.0,0.0,3,3,2,0,0,0,120000.0,0,0,0,otras
903,1550000.0,192.0,162.0,30.0,0,2,3,2,0,1,450000.0,10,2,5,las condes
904,415000.0,66.0,62.0,0.0,3,3,1,1,0,0,65000.0,0,0,0,la cisterna
905,580000.0,71.0,65.0,0.0,3,3,2,1,0,1,100000.0,0,0,0,estación central
907,420000.0,46.0,44.0,0.0,2,2,1,1,0,1,80000.0,0,0,0,san miguel
908,400000.0,46.0,46.0,0.0,0,2,2,0,0,0,84000.0,21,14,2,santiago
909,387000.0,49.0,47.0,0.0,2,2,2,0,0,1,45000.0,0,0,0,santiago
910,306000.0,33.0,33.0,0.0,0,1,1,0,0,0,68000.0,19,20,2,santiago
912,900000.0,190.0,160.0,30.0,0,4,3,1,6,1,155000.0,12,4,10,otras
913,520000.0,54.0,52.0,0.0,0,2,2,1,4,1,70000.0,9,5,5,santiago
914,390000.0,59.0,57.0,0.0,2,2,2,0,0,0,75000.0,0,0,0,santiago
915,297000.0,33.0,33.0,1.0,0,1,1,0,2,0,81000.0,14,20,0,santiago
917,380000.0,53.0,50.0,0.0,2,2,1,0,0,0,70000.0,0,0,0,san miguel
918,45.0,0.0,250.0,0.0,0,0,0,0,0,0,220000.0,0,0,0,las condes
919,350000.0,39.0,39.0,0.0,1,1,1,0,0,0,50000.0,0,0,0,otras
920,17.0,90.0,90.0,0.0,3,3,2,1,0,1,50000.0,0,0,0,santiago
921,450000.0,54.0,54.0,0.0,2,2,1,0,0,0,5000.0,0,0,0,otras
922,450000.0,60.0,55.0,0.0,2,2,1,0,0,0,45000.0,0,0,0,otras
923,399000.0,46.0,46.0,0.0,0,2,2,0,0,0,93000.0,24,20,0,santiago
924,1150000.0,114.0,114.0,0.0,0,4,3,1,0,0,150000.0,0,0,0,ñuñoa
925,320000.0,38.0,38.0,0.0,0,1,1,0,0,0,90000.0,0,0,8,santiago
926,480000.0,64.0,60.0,0.0,3,3,2,1,0,0,65000.0,0,0,0,otras
927,470000.0,50.0,50.0,0.0,0,2,2,0,0,0,90000.0,0,0,20,santiago
928,6980.0,220.0,140.0,0.0,3,3,3,2,0,0,350000.0,0,0,0,otras
929,550000.0,45.0,40.0,0.0,1,1,1,1,0,0,70000.0,0,0,0,ñuñoa
930,280000.0,2173.0,21.0,0.0,0,1,1,0,0,0,30000.0,10,23,0,santiago
931,269000.0,38.0,38.0,0.0,0,1,1,0,0,1,70000.0,0,0,1,otras
932,337500.0,0.0,49.0,0.0,0,0,0,0,0,0,80000.0,0,0,0,la cisterna
